trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
68,False,"{'a': 0.7, 'e': 0.1300287108784259}",20,12,14.276521883311247,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.7, 'e': 0.12618578170503877}",20,16,8.033481586230423,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.7, 'e': 0.1224564282529819}",35,19,29.436449796640424,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.7, 'e': 0.11883729385240965}",30,13,17.123438810055795,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.7, 'e': 0.11532512103806251}",20,15,8.53580178438028,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.7, 'e': 0.11191674861732888}",20,16,9.18664193101337,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.7, 'e': 0.10860910882495801}",20,12,-39.67724053726535,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
75,False,"{'a': 0.7, 'e': 0.10539922456186433}",20,3,19.056391927785786,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.7, 'e': 0.10228420671553748}",30,13,6.725694530230144,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
77,False,"{'a': 0.7, 'e': 0.09926125155964566}",25,0,21.72062476063759,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
78,False,"{'a': 0.7, 'e': 0.09632763823049303}",20,12,13.052915889640714,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.7, 'e': 0.09348072627805847}",20,8,21.933278087627976,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.7, 'e': 0.09071795328941251}",20,11,10.503194694505884,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.7, 'e': 0.08803683258237259}",20,11,14.250635604539381,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.7, 'e': 0.08543495096732123}",30,16,21.39824477893428,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.7, 'e': 0.0829099665751727}",25,13,25.975483457292277,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.7, 'e': 0.08045960674953244}",20,6,25.672292440945416,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.7, 'e': 0.07808166600115317}",20,7,23.34419198845239,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.7, 'e': 0.07577400402284548}",25,15,19.786107000858525,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.7, 'e': 0.0735345437630571}",20,6,-15.624234257226753,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
88,False,"{'a': 0.7, 'e': 0.07136126955638608}",30,8,-11.186669122356532,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
89,False,"{'a': 0.7, 'e': 0.069252225309346}",25,19,-1.8454045507052645,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.7, 'e': 0.06720551273974978}",20,10,18.476630480512313,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.7, 'e': 0.06521928966812753}",25,9,27.63370714273118,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.7, 'e': 0.06329176835964073}",25,15,18.68656460707886,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.7, 'e': 0.06142121391500013}",25,0,35.5233367801354,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
94,False,"{'a': 0.7, 'e': 0.05960594270893937}",20,15,8.23900183255872,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.7, 'e': 0.057844320874838456}",25,10,12.889629649790189,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.7, 'e': 0.056134762834133725}",25,17,15.241021905823482,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.7, 'e': 0.05447572986918988}",25,4,-5.1248272501528636,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
98,False,"{'a': 0.7, 'e': 0.05286572873835037}",30,14,24.952060821536634,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.7, 'e': 0.051303310331919136}",30,23,10.827300548084711,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.7, 'e': 0.049787068367863944}",25,0,26.476433803326472,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
101,False,"{'a': 0.7, 'e': 0.04831563812606779}",25,8,31.181216600011588,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
